"Type","Flight.Type","Day","AverageDelay","TotalFlight"
"Arrival","Domestic","2015-01-01",1.45,1527
"Arrival","Domestic","2015-01-02",3.52,1875
"Arrival","Domestic","2015-01-03",3.36,1644
"Arrival","Domestic","2015-01-04",4.72,1722
"Arrival","Domestic","2015-01-05",4.95,2049
"Arrival","Domestic","2015-01-06",4.37,1979
"Arrival","Domestic","2015-01-07",10.06,1950
"Arrival","Domestic","2015-01-08",16.08,2020
"Arrival","Domestic","2015-01-09",7.26,2013
"Arrival","Domestic","2015-01-10",2.98,1704
"Arrival","Domestic","2015-01-11",4.42,1724
"Arrival","Domestic","2015-01-12",9.71,2004
"Arrival","Domestic","2015-01-13",6.35,1991
"Arrival","Domestic","2015-01-14",6.41,1952
"Arrival","Domestic","2015-01-15",7.49,2002
"Arrival","Domestic","2015-01-16",3.45,2014
"Arrival","Domestic","2015-01-17",5.96,1686
"Arrival","Domestic","2015-01-18",5.26,1727
"Arrival","Domestic","2015-01-19",5.95,1985
"Arrival","Domestic","2015-01-20",3.29,1944
"Arrival","Domestic","2015-01-21",4.38,1971
"Arrival","Domestic","2015-01-22",13.03,1937
"Arrival","Domestic","2015-01-23",7.08,2018
"Arrival","Domestic","2015-01-24",4.79,1667
"Arrival","Domestic","2015-01-25",3.66,1709
"Arrival","Domestic","2015-01-26",3.25,2064
"Arrival","Domestic","2015-01-27",2.26,1979
"Arrival","Domestic","2015-01-28",2.21,2044
"Arrival","Domestic","2015-01-29",2.49,2051
"Arrival","Domestic","2015-01-30",1.79,2080
"Arrival","Domestic","2015-01-31",1.01,1736
"Arrival","Domestic","2015-02-01",0.95,1692
"Arrival","Domestic","2015-02-02",6.16,2036
"Arrival","Domestic","2015-02-03",3.51,1962
"Arrival","Domestic","2015-02-04",3.25,1966
"Arrival","Domestic","2015-02-05",6.68,1981
"Arrival","Domestic","2015-02-06",11.97,1958
"Arrival","Domestic","2015-02-07",14.02,1680
"Arrival","Domestic","2015-02-08",9.02,1661
"Arrival","Domestic","2015-02-09",6.09,2046
"Arrival","Domestic","2015-02-10",3.37,1971
"Arrival","Domestic","2015-02-11",5.96,1989
"Arrival","Domestic","2015-02-12",5.11,2037
"Arrival","Domestic","2015-02-13",8.31,2080
"Arrival","Domestic","2015-02-14",3.91,1633
"Arrival","Domestic","2015-02-15",1.8,1296
"Arrival","Domestic","2015-02-16",-4.1,1507
"Arrival","Domestic","2015-02-17",-5.36,1680
"Arrival","Domestic","2015-02-18",-1.52,2038
"Arrival","Domestic","2015-02-19",-2.89,2097
"Arrival","Domestic","2015-02-20",-1.41,2148
"Arrival","Domestic","2015-02-21",-4.03,1745
"Arrival","Domestic","2015-02-22",0.5,1760
"Arrival","Domestic","2015-02-23",2.98,2000
"Arrival","Domestic","2015-02-24",5.98,1916
"Arrival","Domestic","2015-02-25",4.61,1905
"Arrival","Domestic","2015-02-26",4.44,1944
"Arrival","Domestic","2015-02-27",7.35,1974
"Arrival","Domestic","2015-02-28",11.36,1612
"Arrival","Domestic","2015-03-01",0.86,1628
"Arrival","Domestic","2015-03-02",2.52,1923
"Arrival","Domestic","2015-03-03",1.36,1785
"Arrival","Domestic","2015-03-04",1.93,1821
"Arrival","Domestic","2015-03-05",4.96,1883
"Arrival","Domestic","2015-03-06",5.6,1943
"Arrival","Domestic","2015-03-07",1.88,1550
"Arrival","Domestic","2015-03-08",1.68,1645
"Arrival","Domestic","2015-03-09",4.13,1932
"Arrival","Domestic","2015-03-10",6.37,1847
"Arrival","Domestic","2015-03-11",2.97,1923
"Arrival","Domestic","2015-03-12",3.56,2003
"Arrival","Domestic","2015-03-13",3.18,1961
"Arrival","Domestic","2015-03-14",1.21,1555
"Arrival","Domestic","2015-03-15",0.09,1601
"Arrival","Domestic","2015-03-16",7.45,1921
"Arrival","Domestic","2015-03-17",0.83,1825
"Arrival","Domestic","2015-03-18",0.75,1841
"Arrival","Domestic","2015-03-19",2.77,1901
"Arrival","Domestic","2015-03-20",3.48,1935
"Arrival","Domestic","2015-03-21",2.36,1575
"Arrival","Domestic","2015-03-22",2.76,1614
"Arrival","Domestic","2015-03-23",3.11,1936
"Arrival","Domestic","2015-03-24",2.09,1793
"Arrival","Domestic","2015-03-25",0.88,1830
"Arrival","Domestic","2015-03-26",1.79,1829
"Arrival","Domestic","2015-03-27",2.19,1919
"Arrival","Domestic","2015-03-28",1.07,1583
"Arrival","Domestic","2015-03-29",2.65,1602
"Arrival","Domestic","2015-03-30",3.58,1949
"Arrival","Domestic","2015-03-31",2.99,1776
"Arrival","Domestic","2015-04-01",6.74,1854
"Arrival","Domestic","2015-04-02",4.92,1961
"Arrival","Domestic","2015-04-03",2.72,1625
"Arrival","Domestic","2015-04-04",0.07,1155
"Arrival","Domestic","2015-04-05",3.02,1562
"Arrival","Domestic","2015-04-06",6.72,1976
"Arrival","Domestic","2015-04-07",8.55,1786
"Arrival","Domestic","2015-04-08",3.1,1800
"Arrival","Domestic","2015-04-09",2.1,1852
"Arrival","Domestic","2015-04-10",2.6,1923
"Arrival","Domestic","2015-04-11",0.44,1528
"Arrival","Domestic","2015-04-12",2.52,1618
"Arrival","Domestic","2015-04-13",0.55,1902
"Arrival","Domestic","2015-04-14",1.8,1787
"Arrival","Domestic","2015-04-15",2.63,1763
"Arrival","Domestic","2015-04-16",4.95,1857
"Arrival","Domestic","2015-04-17",4.29,1977
"Arrival","Domestic","2015-04-18",3.33,1477
"Arrival","Domestic","2015-04-19",0.62,1198
"Arrival","Domestic","2015-04-20",-0.57,1319
"Arrival","Domestic","2015-04-21",2.61,1811
"Arrival","Domestic","2015-04-22",4.32,1843
"Arrival","Domestic","2015-04-23",1.32,1828
"Arrival","Domestic","2015-04-24",6.11,1933
"Arrival","Domestic","2015-04-25",1.52,1557
"Arrival","Domestic","2015-04-26",1.91,1605
"Arrival","Domestic","2015-04-27",1.57,1902
"Arrival","Domestic","2015-04-28",0.48,1804
"Arrival","Domestic","2015-04-29",2.01,1825
"Arrival","Domestic","2015-04-30",8.53,1883
"Arrival","Domestic","2015-05-01",2.2,1560
"Arrival","Domestic","2015-05-02",-0.21,1099
"Arrival","Domestic","2015-05-03",1.14,1575
"Arrival","Domestic","2015-05-04",6.15,1942
"Arrival","Domestic","2015-05-05",2.01,1845
"Arrival","Domestic","2015-05-06",1.41,1856
"Arrival","Domestic","2015-05-07",4.68,1815
"Arrival","Domestic","2015-05-08",3.3,1875
"Arrival","Domestic","2015-05-09",1.61,1529
"Arrival","Domestic","2015-05-10",9.76,1495
"Arrival","Domestic","2015-05-11",14.81,1792
"Arrival","Domestic","2015-05-12",7.28,1779
"Arrival","Domestic","2015-05-13",0.72,1773
"Arrival","Domestic","2015-05-14",1.83,1829
"Arrival","Domestic","2015-05-15",3.11,1869
"Arrival","Domestic","2015-05-16",1.69,1487
"Arrival","Domestic","2015-05-17",1.12,1571
"Arrival","Domestic","2015-05-18",0.88,1905
"Arrival","Domestic","2015-05-19",1.37,1798
"Arrival","Domestic","2015-05-20",1.12,1798
"Arrival","Domestic","2015-05-21",3.42,1875
"Arrival","Domestic","2015-05-22",1.48,1899
"Arrival","Domestic","2015-05-23",2.41,1511
"Arrival","Domestic","2015-05-24",0.17,1578
"Arrival","Domestic","2015-05-25",1.48,1908
"Arrival","Domestic","2015-05-26",2.27,1744
"Arrival","Domestic","2015-05-27",1.81,1792
"Arrival","Domestic","2015-05-28",6.59,1802
"Arrival","Domestic","2015-05-29",6.9,1887
"Arrival","Domestic","2015-05-30",3.34,1512
"Arrival","Domestic","2015-05-31",4.53,1581
"Arrival","Domestic","2015-06-01",4.29,1878
"Arrival","Domestic","2015-06-02",6.27,1797
"Arrival","Domestic","2015-06-03",3.48,1888
"Arrival","Domestic","2015-06-04",5.23,1698
"Arrival","Domestic","2015-06-05",1.02,1286
"Arrival","Domestic","2015-06-06",8.88,1200
"Arrival","Domestic","2015-06-07",1.43,1577
"Arrival","Domestic","2015-06-08",-0.04,2136
"Arrival","Domestic","2015-06-09",-1.42,1990
"Arrival","Domestic","2015-06-10",-1.48,1989
"Arrival","Domestic","2015-06-11",-0.64,2023
"Arrival","Domestic","2015-06-12",0.74,2104
"Arrival","Domestic","2015-06-13",-1.04,1650
"Arrival","Domestic","2015-06-14",-0.15,1682
